0.00,0.00,-0.00
0.02,-0.00,-0.00
0.06,-0.00,0.00
0.10,-0.02,0.00
0.08,-0.02,0.00
0.09,-0.04,-0.00
0.11,-0.04,-1.38
0.10,-0.05,-2.75
0.08,-0.05,-4.13
0.10,-0.06,-5.50
0.11,-0.05,-6.88
0.12,-0.05,-8.26
0.13,-0.04,-9.63
0.13,-0.04,-11.00
0.14,-0.06,-12.37
0.12,-0.07,-13.73
0.13,-0.09,-15.09
0.14,-0.08,-16.45
0.15,-0.07,-17.87
0.16,-0.07,-19.21
0.16,-0.06,-20.55
0.15,-0.05,-21.87
0.15,-0.07,-23.19
0.16,-0.06,-24.50
0.16,-0.06,-25.80
0.17,-0.05,-27.09
0.20,-0.04,-28.36
0.20,-0.06,-29.62
0.22,-0.08,-30.87
0.22,-0.07,-32.11
0.19,-0.08,-33.33
0.19,-0.10,-34.54
0.19,-0.09,-35.74
0.19,-0.10,-36.92
0.19,-0.09,-38.09
0.20,-0.09,-39.25
0.20,-0.08,-40.38
0.20,-0.09,-41.51
0.20,-0.08,-42.62
0.21,-0.07,-43.71
0.20,-0.07,-44.78
0.21,-0.06,-45.84
0.21,-0.07,-46.88
0.21,-0.09,-47.90
0.21,-0.06,-48.91
0.21,-0.05,-49.90
0.21,-0.07,-50.88
0.21,-0.06,-51.84
0.23,-0.05,-52.78
0.25,-0.04,-53.71
0.25,-0.06,-54.62
0.24,-0.05,-55.51
0.24,-0.05,-56.38
0.24,-0.04,-57.24
0.24,-0.04,-58.08
0.24,-0.03,-58.91
0.23,-0.03,-59.72
0.23,-0.02,-60.51
0.23,0.00,-61.28
0.23,-0.02,-62.05
0.22,0.01,-62.80
0.22,0.01,-63.53
0.22,-0.02,-64.24
0.22,-0.01,-64.94
0.19,-0.01,-65.63
0.17,-0.03,-66.30
0.20,-0.05,-66.97
0.20,-0.05,-67.61
0.22,-0.07,-68.25
0.22,-0.08,-68.87
0.20,-0.08,-69.48
0.22,-0.07,-70.07
0.22,-0.06,-70.65
0.22,-0.06,-71.22
0.22,-0.05,-71.78
0.22,-0.05,-72.32
0.24,-0.04,-72.86
0.21,-0.02,-73.38
0.19,-0.04,-73.88
0.17,-0.04,-74.38
0.17,-0.06,-74.85
0.18,-0.05,-75.33
0.16,-0.03,-75.79
0.14,-0.02,-76.24
0.15,-0.02,-76.69
0.15,-0.01,-77.13
0.16,0.01,-77.55
0.16,-0.02,-77.96
0.16,-0.02,-78.36
0.17,-0.02,-78.76
0.19,-0.04,-79.15
0.16,-0.04,-79.53
0.17,-0.05,-79.90
0.17,-0.07,-80.27
0.18,-0.08,-80.62
0.18,-0.07,-80.97
0.19,-0.06,-81.31
0.19,-0.06,-81.65
0.17,-0.08,-81.97
0.18,-0.07,-82.28
0.18,-0.04,-82.59
0.21,-0.04,-82.89
0.19,-0.03,-83.18
0.19,-0.05,-83.46
0.21,-0.07,-83.74
0.21,-0.06,-84.01
0.19,-0.06,-84.28
0.19,-0.07,-84.54
0.17,-0.09,-84.79
0.15,-0.05,-85.04
0.16,-0.05,-85.27
0.17,-0.09,-85.51
0.15,-0.11,-85.74
0.13,-0.14,-85.95
0.14,-0.17,-86.17
0.13,-0.18,-86.39
0.14,-0.13,-86.59
0.17,-0.12,-86.80
0.20,-0.11,-87.00
0.19,-0.10,-87.19
0.17,-0.08,-87.38
0.18,-0.07,-87.56
0.18,-0.05,-87.75
0.18,-0.04,-87.92
0.18,-0.03,-88.09
0.19,-0.03,-88.26
0.16,-0.05,-88.42
0.15,-0.04,-88.58
0.17,-0.02,-88.73
0.18,-0.03,-88.89
0.18,-0.05,-89.03
0.18,-0.03,-89.17
0.18,-0.04,-89.31
0.21,-0.06,-89.46
0.23,-0.06,-89.59
0.23,-0.05,-89.72
0.23,-0.04,-89.85
0.21,-0.04,-89.98
0.21,-0.04,-90.10
0.21,-0.01,-90.22
0.21,-0.03,-90.33
0.18,-0.01,-90.45
0.16,-0.03,-90.56
0.17,-0.05,-90.67
0.17,-0.07,-90.77
0.17,-0.04,-90.87
0.18,-0.04,-90.97
0.18,-0.03,-91.07
0.18,-0.03,-91.17
0.16,-0.03,-91.26
0.17,-0.02,-91.35
0.17,-0.04,-91.45
0.15,-0.04,-91.54
0.15,-0.04,-91.63
0.16,-0.04,-91.71
0.15,-0.03,-91.80
0.18,-0.05,-91.88
0.18,-0.05,-91.95
0.19,-0.06,-92.02
0.19,-0.03,-92.09
0.19,-0.06,-92.15
0.20,-0.07,-92.21
0.20,-0.04,-92.29
0.18,-0.03,-92.36
0.18,-0.02,-92.44
0.16,-0.02,-92.50
0.16,0.00,-92.57
0.14,-0.02,-92.63
0.15,-0.04,-92.69
0.15,-0.04,-92.75
0.16,-0.06,-92.81
0.16,-0.08,-92.87
0.16,-0.07,-92.92
0.14,-0.06,-92.98
0.15,-0.05,-93.03
0.15,-0.06,-93.08
0.16,-0.06,-93.13
0.16,-0.05,-93.18
0.17,-0.05,-93.22
0.17,-0.04,-93.27
0.18,-0.04,-93.31
0.18,-0.06,-93.35
0.18,-0.05,-93.39
0.18,-0.04,-93.43
0.18,-0.04,-93.46
0.18,-0.03,-93.50
0.18,-0.03,-93.54
0.19,-0.05,-93.58
0.21,-0.04,-93.62
0.21,-0.06,-93.66
0.21,-0.10,-93.70
0.21,-0.09,-93.73
0.21,-0.11,-93.77
0.19,-0.12,-93.80
0.19,-0.15,-93.83
0.20,-0.14,-93.86
0.20,-0.14,-93.90
0.20,-0.15,-93.92
0.20,-0.15,-93.95
0.20,-0.14,-93.98
0.20,-0.15,-94.00
0.18,-0.13,-94.03
0.18,-0.09,-94.05
0.19,-0.11,-94.08
0.19,-0.10,-94.10
0.19,-0.06,-94.12
0.22,-0.08,-94.13
0.20,-0.07,-94.15
0.18,-0.07,-94.17
0.16,-0.04,-94.19
0.17,-0.03,-94.21
0.16,-0.03,-94.23
0.16,-0.03,-94.25
0.14,-0.02,-94.27
0.12,-0.02,-94.29
0.14,0.01,-94.31
0.15,0.01,-94.33
0.15,-0.01,-94.35
0.16,-0.03,-94.36
0.16,-0.05,-94.38
0.16,-0.04,-94.39
0.15,-0.04,-94.41
0.15,-0.03,-94.43
0.16,-0.01,-94.44
0.14,-0.01,-94.46
0.15,-0.01,-94.47
0.13,-0.03,-94.48
0.14,-0.03,-94.50
0.15,-0.02,-94.51
0.16,-0.06,-94.52
0.16,-0.08,-94.53
0.15,-0.07,-94.54
0.15,-0.08,-94.55
0.16,-0.10,-94.56
0.14,-0.09,-94.57
0.14,-0.08,-94.58
0.15,-0.07,-94.59
0.16,-0.06,-94.60
0.18,-0.06,-94.61
0.18,-0.05,-94.62
0.18,-0.04,-94.63
0.18,-0.04,-94.63
0.19,-0.06,-94.65
0.19,-0.08,-94.66
0.17,-0.09,-94.66
0.17,-0.08,-94.66
0.17,-0.07,-94.67
0.15,-0.11,-94.68
0.16,-0.17,-94.69
0.16,-0.17,-94.71
0.19,-0.13,-94.72
0.17,-0.11,-94.73
0.20,-0.10,-94.74
