-0.00,-0.01,-0.00
-0.06,0.09,-0.01
-0.10,0.21,-0.02
-0.12,0.24,-0.03
-0.14,0.22,-0.05
-0.17,0.23,-0.05
-0.19,0.25,1.28
-0.20,0.26,2.61
-0.19,0.28,3.95
-0.18,0.30,5.30
-0.22,0.30,6.65
-0.22,0.30,8.01
-0.23,0.32,9.37
-0.24,0.35,10.74
-0.24,0.36,12.12
-0.27,0.37,13.49
-0.30,0.35,14.85
-0.30,0.37,16.22
-0.33,0.41,17.66
-0.34,0.43,19.03
-0.31,0.43,20.41
-0.31,0.38,21.78
-0.30,0.35,23.16
-0.35,0.37,24.52
-0.36,0.39,25.88
-0.33,0.34,27.23
-0.32,0.34,28.59
-0.31,0.37,29.93
-0.34,0.39,31.26
-0.36,0.38,32.58
-0.35,0.34,33.89
-0.34,0.35,35.20
-0.34,0.33,36.51
-0.33,0.36,37.80
-0.32,0.35,39.07
-0.32,0.36,40.33
-0.32,0.36,41.59
-0.31,0.36,42.83
-0.33,0.41,44.05
-0.36,0.47,45.25
-0.36,0.47,46.44
-0.35,0.46,47.62
-0.35,0.43,48.79
-0.35,0.42,49.96
-0.37,0.46,51.09
-0.38,0.47,52.21
-0.35,0.43,53.33
-0.37,0.43,54.42
-0.39,0.48,55.50
-0.37,0.48,56.56
-0.34,0.51,57.59
-0.34,0.53,58.63
-0.31,0.50,59.64
-0.33,0.47,60.64
-0.30,0.49,61.62
-0.29,0.49,62.58
-0.25,0.51,63.54
-0.27,0.49,64.47
-0.32,0.54,65.38
-0.35,0.56,66.27
-0.33,0.53,67.15
-0.33,0.52,68.02
-0.32,0.51,68.87
-0.32,0.51,69.70
-0.31,0.48,70.53
-0.31,0.44,71.34
-0.31,0.46,72.14
-0.31,0.49,72.91
-0.28,0.49,73.67
-0.29,0.48,74.40
-0.32,0.47,75.13
-0.35,0.47,75.83
-0.35,0.43,76.53
-0.32,0.41,77.22
-0.27,0.38,77.89
-0.24,0.41,78.54
-0.24,0.38,79.18
-0.28,0.37,79.80
-0.28,0.41,80.40
-0.28,0.43,80.99
-0.26,0.43,81.57
-0.26,0.49,82.13
-0.27,0.52,82.69
-0.28,0.52,83.24
-0.28,0.50,83.78
-0.25,0.49,84.30
-0.26,0.53,84.81
-0.24,0.53,85.31
-0.25,0.52,85.81
